Provinsi ;Tahun;Prevalensi Balita Gizi Kurang (0-59 Bulan);PDRB;Imunisasi Dasar;Presentasi Miskin;Rata Lama Pendidikan
ACEH;2016;14,11;136843,82;38,15;16,73;9,36
ACEH;2017;18,9;145806,92;23,19;16,89;9,42
ACEH;2018;16,8;155910,98;18,32;15,97;9,46
SUMATERA UTARA;2016;10,08;626062,91;47,08;10,35;9,46
SUMATERA UTARA;2017;13,1;684634,43;27,1;10,22;9,55
SUMATERA UTARA;2018;14,3;741347,43;27,98;9,22;9,61
SUMATERA BARAT;2016;13,9;196099,18;61,11;7,09;8,97
SUMATERA BARAT;2017;14,2;213893,47;35,59;6,87;9,02
SUMATERA BARAT;2018;15,4;230367,22;37,62;6,65;9,1
RIAU;2016;14,99;681699,03;41,82;7,98;8,97
RIAU;2017;14;704705,03;31,73;7,78;9,06
RIAU;2018;14;752263,07;30,34;7,39;9,11
JAMBI;2016;13,17;171199,47;54,33;8,41;8,55
JAMBI;2017;10,5;189787,72;46,99;8,19;8,61
JAMBI;2018;11,9;207878,69;66,39;7,92;8,7
SUMATERA SELATAN;2016;9,29;353866,96;52,31;13,54;8,32
SUMATERA SELATAN;2017;10,2;382885,7;47,4;13,19;8,41
SUMATERA SELATAN;2018;12,3;419392,16;48,75;12,8;8,48
BENGKULU;2016;7,39;55384,17;64,47;17,32;8,82
BENGKULU;2017;11,9;60657,68;43,48;16,45;8,91
BENGKULU;2018;10,4;66402,99;62,48;15,43;8,94
LAMPUNG;2016;12,36;279417,62;68,12;14,29;8,1
LAMPUNG;2017;15;306700,43;50,92;13,69;8,19
LAMPUNG;2018;12,8;332446,07;67,4;13,14;8,29
KEP. BANGKA BELITUNG;2016;11,23;65048,23;75,95;5,22;8,04
KEP. BANGKA BELITUNG;2017;13;69865,21;58,33;5,2;8,13
KEP. BANGKA BELITUNG;2018;13,6;73113,28;78,34;5,25;8,24
KEP. RIAU;2016;14;216007,66;75,64;5,98;9,9
KEP. RIAU;2017;13,4;227706,88;57,4;6,06;10
KEP. RIAU;2018;9,8;248822,23;73,55;6,2;10,01
DKI JAKARTA;2016;11,3;2159073,6;64,09;3,75;10,92
DKI JAKARTA;2017;11;2365353,85;52,43;3,77;10,97
DKI JAKARTA;2018;12;2592606,57;68,78;3,57;11,06
JAWA BARAT;2016;12,11;1653238,4;63,08;8,95;8,41
JAWA BARAT;2017;12,2;1788117,36;43,01;8,71;8,46
JAWA BARAT;2018;10,6;1960627,65;54,99;7,45;8,61
JAWA TENGAH;2016;13,88;1087316,7;74,18;13,27;7,7
JAWA TENGAH;2017;14;1172794,52;63,64;13,01;7,77
JAWA TENGAH;2018;13,7;1268261,17;74,95;11,32;7,84
DI YOGYAKARTA;2016;13,8;109962,35;81,72;13,34;9,62
DI YOGYAKARTA;2017;10,2;119128,72;71,28;13,02;9,68
DI YOGYAKARTA;2018;13;129818,36;86,41;12,13;9,73
JAWA TIMUR;2016;13,94;1855738,4;73,32;12,05;7,78
JAWA TIMUR;2017;12,6;2012917,99;55,51;11,77;7,87
JAWA TIMUR;2018;13,4;2188766,35;67,02;10,98;7,93
BANTEN;2016;13,89;517898,34;47,07;5,42;8,79
BANTEN;2017;15,7;563597,7;25,46;5,45;8,87
BANTEN;2018;12,6;613804,41;30,4;5,24;8,93
BALI;2016;8,13;194089,58;86,01;4,25;8,84
BALI;2017;6,6;213035,86;67,6;4,25;8,93
BALI;2018;11,1;233636,77;92,1;4,01;9
NUSA TENGGARA BARAT;2016;17,25;116464,76;75,26;16,48;7,57
NUSA TENGGARA BARAT;2017;18,3;123822,76;59,73;16,07;7,64
NUSA TENGGARA BARAT;2018;20,5;123868,02;75,2;14,75;7,69
NUSA TENGGARA TIMUR;2016;21,34;83742,79;62,11;22,19;7,54
NUSA TENGGARA TIMUR;2017;20,9;90758,93;57,96;21,85;7,62
NUSA TENGGARA TIMUR;2018;22,2;98930,19;44,41;21,35;7,7
KALIMANTAN BARAT;2016;20,81;161364,24;62,62;7,87;7,49
KALIMANTAN BARAT;2017;19,4;177493,65;41,02;7,88;7,57
KALIMANTAN BARAT;2018;18,6;194138,22;47,6;7,77;7,65
KALIMANTAN TENGAH;2016;19,09;111967,02;51,29;5,66;8,52
KALIMANTAN TENGAH;2017;17,6;125817,07;43,16;5,37;8,59
KALIMANTAN TENGAH;2018;16,3;138616,13;43,24;5,17;8,66
KALIMANTAN SELATAN;2016;17,73;146090,43;76,59;4,85;8,28
KALIMANTAN SELATAN;2017;16,4;159104,55;61,89;4,73;8,37
KALIMANTAN SELATAN;2018;19;171684,06;62,97;4,54;8,45
KALIMANTAN TIMUR;2016;16,03;508880,24;58,55;6,11;9,55
KALIMANTAN TIMUR;2017;14,9;591903,49;44,84;6,19;9,62
KALIMANTAN TIMUR;2018;11,5;635498,68;71,3;6,03;9,63
KALIMANTAN UTARA;2016;15,38;66041,81;70,01;6,23;9,01
KALIMANTAN UTARA;2017;15,3;76927,57;56,13;7,22;9,1
KALIMANTAN UTARA;2018;14,4;85548,94;64,72;7,09;9,18
SULAWESI UTARA;2016;5,86;100513,84;71,36;8,34;9,31
SULAWESI UTARA;2017;12;110116,73;54,07;8,1;9,4
SULAWESI UTARA;2018;11,2;119512,68;57,44;7,8;9,51
SULAWESI TENGAH;2016;19,21;120030,01;56,52;14,45;8,56
SULAWESI TENGAH;2017;19,9;133951,16;50,21;14,14;8,64
SULAWESI TENGAH;2018;18,6;167135,77;47,69;14,01;8,74
SULAWESI SELATAN;2016;20,12;377108,91;62,29;9,4;8,31
SULAWESI SELATAN;2017;17,9;415588,2;47,68;9,38;8,42
SULAWESI SELATAN;2018;18,4;461774,74;56,56;9,06;8,45
SULAWESI TENGGARA;2016;13,76;96994,76;69,13;12,88;8,86
SULAWESI TENGGARA;2017;17,3;107423,45;59,1;12,81;8,93
SULAWESI TENGGARA;2018;16,4;118066,61;36,78;11,63;9,03
GORONTALO;2016;17,79;31697,56;82,75;17,72;7,71
GORONTALO;2017;17,5;34537,68;51,32;17,65;7,77
GORONTALO;2018;19,3;37731,39;56,25;16,81;7,83
SULAWESI BARAT;2016;19,73;35945,2;54,54;11,74;7,76
SULAWESI BARAT;2017;19,9;39497,41;47,65;11,3;7,84
SULAWESI BARAT;2018;18,4;43457,83;45,3;11,25;7,94
MALUKU;2016;18,18;37054,41;49,89;19,18;9,69
MALUKU;2017;17,9;39881,55;32,66;18,45;9,74
MALUKU;2018;17,5;43047,09;27,23;18,12;9,78
MALUKU UTARA;2016;15,22;29150,6;54,3;6,33;8,96
MALUKU UTARA;2017;13,4;32272,57;32,09;6,35;9
